outcome,date,treated,synthetic,gap
mean_zone_log1p_volume,2024-02-12,5.748892130290917,5.597078817916994,0.15181331237392248
mean_zone_log1p_volume,2024-02-13,5.557765397315135,5.601373979632396,-0.043608582317260815
mean_zone_log1p_volume,2024-02-14,5.6485699469371236,5.719431715478142,-0.07086176854101799
mean_zone_log1p_volume,2024-02-15,5.720651767842723,5.709295521051485,0.011356246791238233
mean_zone_log1p_volume,2024-02-16,5.786712466604378,5.7604058510754435,0.02630661552893391
mean_zone_log1p_volume,2024-02-19,5.585300471103734,5.666212020166832,-0.08091154906309758
mean_zone_log1p_volume,2024-02-20,5.58955583581641,5.694366483043689,-0.10481064722727955
mean_zone_log1p_volume,2024-02-21,5.543286477677111,5.675694685712422,-0.13240820803531042
mean_zone_log1p_volume,2024-02-22,5.543390878595467,5.717824036383781,-0.17443315778831298
mean_zone_log1p_volume,2024-02-23,5.774026666591943,5.743488731986424,0.03053793460551873
mean_zone_log1p_volume,2024-02-26,5.55296923079885,5.668056259622907,-0.11508702882405644
mean_zone_log1p_volume,2024-02-27,5.68471950087333,5.656267771408695,0.028451729464635724
mean_zone_log1p_volume,2024-02-28,5.725495971754138,5.4647365565968045,0.2607594151573344
mean_zone_log1p_volume,2024-02-29,5.631191037953251,5.714931033240851,-0.08373999528759933
mean_zone_log1p_volume,2024-03-01,5.646207619533899,5.777794522753469,-0.13158690321956934
mean_zone_log1p_volume,2024-03-04,5.647857796147648,5.699119435016778,-0.05126163886912899
mean_zone_log1p_volume,2024-03-05,5.679415363138784,5.615063039326888,0.06435232381189585
mean_zone_log1p_volume,2024-03-06,5.73607044366296,5.639349502118814,0.09672094154414594
mean_zone_log1p_volume,2024-03-07,5.7593953044798925,5.709374147036309,0.05002115744358331
mean_zone_log1p_volume,2024-03-08,5.810920728212016,5.700500349476413,0.11042037873560297
mean_zone_log1p_volume,2024-03-11,5.644100524329545,5.671024346692493,-0.026923822362947245
mean_zone_log1p_volume,2024-03-12,5.693563212213588,5.719958854835759,-0.026395642622170104
mean_zone_log1p_volume,2024-03-13,5.673733488745982,5.692548869706679,-0.018815380960697542
mean_zone_log1p_volume,2024-03-14,5.70221185994263,5.742189358928765,-0.03997749898613474
mean_zone_log1p_volume,2024-03-15,5.852785596611268,5.773157157722175,0.07962843888909206
mean_zone_log1p_volume,2024-03-18,5.559703915881053,5.6556461233613735,-0.09594220748032094
mean_zone_log1p_volume,2024-03-19,5.712455133953878,5.653152961475926,0.05930217247795193
mean_zone_log1p_volume,2024-03-20,5.657235430979076,5.652506420368683,0.004729010610393088
mean_zone_log1p_volume,2024-03-21,5.6004593665707745,5.6974964763846865,-0.09703710981391156
mean_zone_log1p_volume,2024-03-22,5.749680006821637,5.728578228800912,0.021101778020724334
mean_zone_log1p_volume,2024-03-25,5.6101399633894244,5.633965799774954,-0.02382583638552912
mean_zone_log1p_volume,2024-03-27,5.7448552788139615,5.581635670097586,0.16321960871637564
mean_zone_log1p_volume,2024-03-28,5.794436791093724,5.710856527756077,0.083580263337647
mean_zone_log1p_volume,2024-03-29,5.656971171952951,5.762653175370031,-0.10568200341707983
mean_zone_log1p_volume,2024-04-01,5.763684788413903,5.651176682536656,0.11250810587724583
mean_zone_log1p_volume,2024-04-02,5.6028992155356026,5.573358974645518,0.029540240890084342
mean_zone_log1p_volume,2024-04-03,5.589880546159124,5.468320928256554,0.12155961790257012
mean_zone_log1p_volume,2024-04-04,5.709241246159337,5.653025285754447,0.05621596040488889
mean_zone_log1p_volume,2024-04-05,5.622830083661879,5.696413722348462,-0.07358363868658259
mean_zone_log1p_volume,2024-04-08,5.618700467315271,5.514650446417308,0.10405002089796339
mean_zone_log1p_volume,2024-04-09,5.689755752734934,5.586682097006247,0.10307365572868696
mean_zone_log1p_volume,2024-04-10,5.703264717719032,5.563251423994878,0.1400132937241552
mean_zone_log1p_volume,2024-04-11,5.669322061312904,5.6491823999137765,0.020139661399127255
mean_zone_log1p_volume,2024-04-12,5.715891189610335,5.643799314451696,0.07209187515863799
mean_zone_log1p_volume,2024-04-15,5.76246984511645,5.517383446661208,0.24508639845524188
mean_zone_log1p_volume,2024-04-16,5.559132844915075,5.561981756578251,-0.002848911663176546
mean_zone_log1p_volume,2024-04-17,5.694570942557386,5.541713503215881,0.15285743934150536
mean_zone_log1p_volume,2024-04-18,5.739743026405127,5.604163994540476,0.1355790318646511
mean_zone_log1p_volume,2024-04-19,5.7389815034426235,5.678757074311823,0.060224429130799784
mean_zone_log1p_volume,2024-04-22,5.552625825343914,5.518293975892349,0.03433184945156467
mean_zone_log1p_volume,2024-04-23,5.60213439276913,5.439651856599904,0.16248253616922512
speed_mph,2024-02-12,61.47414286963696,62.44019921846851,-0.9660563488315617
speed_mph,2024-02-13,61.924519889272084,62.638438491953195,-0.713918602681102
speed_mph,2024-02-14,61.92928156984226,62.47811429469874,-0.5488327248564943
speed_mph,2024-02-15,62.416588398373676,62.08030765291568,0.33628074545800074
speed_mph,2024-02-16,62.68758024213178,60.63782306478282,2.049757177348955
speed_mph,2024-02-19,63.4431381692503,62.24143353166008,1.2017046375902247
speed_mph,2024-02-20,61.87658291818137,62.446795806224706,-0.570212888043336
speed_mph,2024-02-21,62.13766424842871,61.732679608335346,0.40498464009337143
speed_mph,2024-02-22,58.99642905540528,61.08762936425609,-2.091200308850812
speed_mph,2024-02-23,63.25257597251468,62.35578419974794,0.8967917727667336
speed_mph,2024-02-26,62.69694691666082,63.61720615641099,-0.9202592397501532
speed_mph,2024-02-27,61.59409650486489,62.77779228289398,-1.1836957780290875
speed_mph,2024-02-28,60.34903067903716,61.78426074618686,-1.435230067149691
speed_mph,2024-02-29,61.96379338528635,61.76451541968663,0.19927796559971608
speed_mph,2024-03-01,62.970185572519995,61.120070859881544,1.850114712638441
speed_mph,2024-03-04,63.63992009303535,63.708626164728166,-0.06870607169281209
speed_mph,2024-03-05,60.03866165894361,61.132561590405764,-1.0938999314621594
speed_mph,2024-03-06,60.555549577341665,61.499690816523795,-0.94414123918213
speed_mph,2024-03-07,61.26168190230095,62.77702141415131,-1.515339511850355
speed_mph,2024-03-08,63.008370404288556,60.89529198149347,2.1130784227950765
speed_mph,2024-03-11,62.884543967076674,62.29941203930155,0.5851319277751229
speed_mph,2024-03-12,61.78445338255001,61.68527709697165,0.0991762855783539
speed_mph,2024-03-13,62.28385779922658,61.71435099215376,0.5695068070728216
speed_mph,2024-03-14,62.43397306814862,62.19056747658886,0.24340559155974847
speed_mph,2024-03-15,62.60086086456375,61.8548956606019,0.7459652039618434
speed_mph,2024-03-18,62.504779232961894,62.76424047170026,-0.259461238738364
speed_mph,2024-03-19,62.07626777864154,62.2620267434347,-0.18575896479317416
speed_mph,2024-03-20,61.215742248820376,62.58749414095794,-1.3717518921375702
speed_mph,2024-03-21,62.087242318451324,60.943854481636514,1.1433878368148154
speed_mph,2024-03-22,63.06449826786737,62.66995507931558,0.39454318855178494
speed_mph,2024-03-25,63.4675010443118,63.63549940393805,-0.1679983596262464
speed_mph,2024-03-27,56.368130599378844,61.34354920279467,-4.975418603415827
speed_mph,2024-03-28,57.679400183622555,63.42887730184878,-5.749477118226224
speed_mph,2024-03-29,60.352067205004836,62.58051544970026,-2.228448244695417
speed_mph,2024-04-01,59.36233698174009,63.22459089879329,-3.862253917053191
speed_mph,2024-04-02,53.148488211870216,62.04843669124584,-8.899948479375619
speed_mph,2024-04-03,53.281735402685975,61.53807183185489,-8.256336429168924
speed_mph,2024-04-04,55.32968175652763,62.64574794060366,-7.3160661840760355
speed_mph,2024-04-05,58.115563762966765,63.18087393538984,-5.065310172423079
speed_mph,2024-04-08,60.34955760924417,62.88639958382731,-2.536841974583155
speed_mph,2024-04-09,57.642964755876086,63.24818865981301,-5.6052239039369205
speed_mph,2024-04-10,57.78522850979368,62.23958472104788,-4.454356211254199
speed_mph,2024-04-11,57.05341723691941,62.9491186878141,-5.895701450894697
speed_mph,2024-04-12,58.420962691646956,62.80560238323762,-4.384639691590662
speed_mph,2024-04-15,59.495498504006015,63.72202985665666,-4.226531352650639
speed_mph,2024-04-16,57.25391931462265,62.38250775456213,-5.128588439939474
speed_mph,2024-04-17,55.208732469162236,61.96281599528125,-6.754083526119011
speed_mph,2024-04-18,56.85608548608385,62.459309538598276,-5.603224052514428
speed_mph,2024-04-19,54.61991146524474,62.08354143679964,-7.463629971554902
speed_mph,2024-04-22,59.90878502630195,63.85447706141269,-3.945692035110736
speed_mph,2024-04-23,57.320235478052744,63.50014867943945,-6.179913201386705
